ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha
BSC,,1.5,4.2,,1.9,,,26076.4,13000.0,0.0,-0.214,-0.05,-0.0008
BSD,,3.5,2.0,,2.1,,,34500.0,19000.0,0.461,0.177,-0.12,0.0014
BSG,2.6,3.4,3.0,3.5,1.0,3.9,1.0,13100.0,8110.0,0.136,0.345,-0.09,0.0025
BSH,3.0,2.9,5.0,3.5,2.0,3.5,1.0,47160.5,20543.4,0.597,0.94,0.12,0.004
BSI,3.0,2.4,5.0,3.0,4.1,2.8,1.0,43647.3,12050.0,-0.319,-0.561,1.76,-0.0002
BSL,3.5,4.1,4.6,3.5,1.5,3.6,,13256.9,8996.0,-0.132,-0.064,0.07,0.0007
BSP,2.7,3.4,4.2,3.5,1.3,1.0,,19944.5,14747.0,-0.04,0.015,0.01,0.0004
BSQ,3.1,3.8,3.8,3.0,2.7,4.4,1.0,40248.8,22870.5,-0.182,0.237,0.39,0.0018
BSR,3.1,4.3,5.0,3.0,2.3,2.8,1.0,31800.7,10991.0,-0.424,-0.349,0.96,0.0001
BST,,3.8,5.0,,1.9,,,21200.0,13000.0,0.041,-0.057,0.03,0.0012
BT1,,2.8,2.0,,1.2,,,21500.0,13224.5,-0.179,0.023,0.25,0.0012
BT6,2.0,3.0,3.0,,1.0,,1.0,8800.0,3800.0,-0.236,-0.462,0.05,-0.0025
BTB,,4.0,2.4,,1.2,,,8108.0,5700.0,0.317,0.06,0.24,0.0011
BTD,,4.1,3.6,,2.2,,,36373.1,20157.0,-0.026,-0.178,0.4,0.0
BTG,,4.3,4.2,,1.0,,,11900.0,5100.0,-0.047,0.439,-0.16,0.0033
BTH,2.3,1.5,3.6,3.5,2.1,,1.0,25800.0,8300.0,-0.204,0.085,-0.02,0.0017
BTN,2.0,3.8,1.6,,1.0,1.7,,8689.0,3005.0,-0.048,-0.373,0.4,-0.0005
BTP,3.2,4.5,5.0,3.5,2.4,2.8,1.0,17304.6,12400.0,-0.164,-0.14,0.42,0.0001
BTS,2.3,3.5,3.0,3.0,1.3,2.1,1.0,16313.4,4200.0,-0.19,-0.411,1.38,0.0003
BTT,2.6,1.6,4.2,3.0,1.9,3.6,1.0,51043.7,30550.0,-0.214,-0.109,0.02,-0.0001
BTU,,4.0,3.4,,2.4,,,13734.7,9700.0,-0.185,-0.152,0.08,0.0
BTV,2.4,2.0,3.8,3.2,1.1,3.1,1.0,40000.0,8500.0,-0.309,-0.621,-0.2,-0.0017
BTW,3.0,3.4,4.8,3.5,3.0,2.6,1.0,37500.0,24100.0,-0.02,0.074,0.14,0.0008
BVB,2.3,3.6,1.9,3.2,3.0,1.2,1.0,23400.0,7122.0,-0.3,-0.598,0.87,-0.0024
BVG,,4.3,2.8,,1.2,,,9889.0,1252.0,-0.292,-0.654,1.33,-0.0018
BVH,2.6,1.8,4.2,4.1,1.6,2.8,1.0,62651.7,41549.0,-0.098,-0.116,1.12,0.0012
BVL,1.0,,,,,,1.0,53800.0,19825.0,-0.08,-0.07,0.36,0.0018
BVN,,3.3,2.0,,1.1,,,17600.0,6300.0,-0.281,-0.274,0.04,0.0019
