ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
POT,2022,3,5,7,87,-121,145.0
POS,2022,3,2,22,0,88,-49.0
POM,2022,3,489,356,-739,69,-249.0
PNP,2022,3,0,-36,-34,40,41.0
PNJ,2022,3,-12,-257,761,-638,2714.0
PNC,2022,3,2,-24,0,45,
PMW,2022,3,-4,-23,-57,56,83.0
PMS,2022,3,-1,-1,-7,4,25.0
PMP,2022,3,-5,-5,5,-3,12.0
PMG,2022,3,-9,79,-100,25,2.0
PMC,2022,3,-1,0,-5,10,99.0
PMB,2022,3,-1,-1,-20,4,45.0
PLX,2022,3,-92,2324,-3910,3870,-1999.0
PLP,2022,3,-3,-9,30,-78,205.0
PLC,2022,3,-21,100,379,-690,1029.0
PJT,2022,3,0,0,-21,45,20.0
PJC,2022,3,0,0,0,23,20.0
PIV,2022,3,0,0,0,0,
PIT,2022,3,0,0,-27,31,-32.0
PIS,2022,3,-3,-15,16,-31,67.0
PIC,2022,3,0,0,-27,10,61.0
PIA,2022,3,0,1,0,-4,23.0
PHS,2022,3,-4,-4,4,-379,2.0
PHR,2022,3,-56,-90,-162,131,686.0
PHP,2022,3,299,111,-31,-26,1141.0
PHN,2022,3,1,1,-15,33,34.0
PHH,2022,3,0,-9,0,-2,-9.0
PHC,2022,3,-3,-38,10,14,10.0
PGV,2022,3,123,448,-267,852,5132.0
PGS,2022,3,-32,-34,-170,-41,185.0
PGN,2022,3,-2,-1,2,2,11.0
PGI,2022,3,-3,10,-9,-17,251.0
PGD,2022,3,-1,2,-225,53,409.0
PGC,2022,3,-19,-77,59,0,128.0
PGB,2022,3,-2,-2,0,4087,0.0
PFL,2022,3,0,0,0,-2,3.0
PET,2022,3,-8,-576,551,-257,544.0
PEN,2022,3,0,-10,-4,9,-20.0
PEG,2022,3,-2,1,0,7,11.0
PDV,2022,3,0,-23,-20,52,22.0
PDR,2022,3,-5,812,398,-1758,3689.0
PDN,2022,3,-23,16,-85,121,202.0
PDC,2022,3,-2,-2,0,4,1.0
PDB,2022,3,-2,0,-11,9,-2.0
PCT,2022,3,0,0,0,19,11.0
PCH,2022,3,0,-21,-8,13,
PCG,2022,3,0,2,0,6,0.0
PCE,2022,3,0,0,18,-28,100.0
PC1,2022,3,-288,-443,710,461,87.0
PBT,2022,3,0,-6,0,27,-3.0
PBP,2022,3,-1,-51,-5,75,-66.0
PBC,2022,3,-32,-44,-34,118,-76.0
PAT,2022,3,-1,189,-372,187,1015.0
PAS,2022,3,0,0,-102,102,-70.0
PAP,2022,3,5,5,8,-13,
PAN,2022,3,-138,-77,151,-628,1304.0
PAC,2022,3,-65,51,-127,104,123.0
ORS,2022,3,-1,-1,104,-893,-50.0
OPC,2022,3,-5,-170,-8,99,91.0
ONE,2022,3,0,0,27,-69,78.0
OIL,2022,3,-71,566,-672,649,-149.0
OGC,2022,3,-2,143,-14,-51,344.0
OCB,2022,3,-9,-9,0,-3152,0.0
NVT,2022,3,-18,-22,-3,46,-37.0
NVL,2022,3,-12,2109,3481,-1428,3421.0
NVB,2022,3,-4,-4,1500,522,0.0
NTT,2022,3,-21,-23,14,-33,-10.0
NTP,2022,3,-9,16,607,-238,1622.0
NTL,2022,3,21,159,8,-127,226.0
NTH,2022,3,0,-9,-15,11,72.0
NTC,2022,3,-4,306,-341,32,289.0
NT2,2022,3,0,-404,431,169,1406.0
NST,2022,3,-2,-2,27,-30,71.0
NSH,2022,3,1,1,6,-6,10.0
NSC,2022,3,-9,-9,-31,45,243.0
NS2,2022,3,-9,-8,-12,29,39.0
NRC,2022,3,0,214,12,-226,556.0
NQT,2022,3,4,7,-3,-14,20.0
NQN,2022,3,-26,-26,-36,61,23.0
NQB,2022,3,2,2,-8,9,13.0
NOS,2022,3,-2,-2,-3,6,-110.0
NNG,2022,3,-27,-28,8,40,195.0
NNC,2022,3,-18,-17,0,-1,0.0
NLG,2022,3,-2,-3,346,-156,703.0
NKG,2022,3,-34,45,727,-500,1077.0
