ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
CHP,Conventional Electricity,,,,,,,2.8,3,3,1,2,2,2,1,5,5,5,
CHS,Multiutilities,,,,,,,2.1,2,3,2,2,1,2,2,3,2,2,
CI5,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CIA,Transportation Services,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CID,Heavy Construction,,,,,,,1.7,2,3,1,2,1,1,1,4,1,1,
CIG,Heavy Construction,,,,,,,2.4,1,2,5,1,5,5,1,2,1,1,
CII,Heavy Construction,,,,,,,2.4,1,1,1,4,4,5,1,3,3,2,
CIP,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CJC,Electronic Equipment,,,,,,,1.2,1,2,1,1,1,1,1,1,1,2,
CKA,Industrial Machinery,,,,,,,1.9,5,4,2,1,1,1,1,1,1,1,
CKD,Industrial Machinery,,,,,,,2.7,5,4,2,1,1,5,5,1,1,2,
CKG,Real Estate Services,,,,,,,3.3,4,2,4,2,5,5,1,4,3,3,
CKV,Telecommunications Equipment,,,,,,,1.5,1,2,1,4,1,1,1,1,1,1,
CLC,Tobacco,,,,,,,2.5,4,4,2,2,2,1,4,2,2,2,
CLG,Real Estate Holding & Development,,,,,,,1.3,1,1,1,1,1,1,1,4,1,1,
CLH,Building Materials & Fixtures,,,,,,,2.6,5,5,3,2,2,1,1,2,2,2,
CLL,Transportation Services,,,,,,,2.9,3,4,2,1,1,1,2,5,5,5,
CLM,Coal,,,,,,,2.4,4,2,4,2,2,4,1,1,1,2,
CLW,Water,,,,,,,2.3,3,3,3,2,3,2,1,2,1,2,
CLX,Food Products,,,,,,,4.2,3,3,5,5,5,5,5,3,3,5,
CMC,Automobiles,,,,,,,2.4,2,2,5,4,1,1,5,1,1,1,
CMD,Building Materials & Fixtures,,,,,,,1.9,5,4,1,1,1,1,1,1,1,2,
CMF,Food Products,,,,,,,3.7,5,5,5,3,5,5,1,3,2,2,
CMG,Computer Services,,,,,,,2.5,2,2,4,2,3,5,1,2,2,2,
CMI,Building Materials & Fixtures,,,,,,,2.1,1,3,1,5,1,3,1,1,4,1,
CMK,Industrial Machinery,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
CMM,Food Products,,,,,,,1.3,1,1,1,1,1,1,1,2,2,2,
CMN,Food Products,,,,,,,2.2,3,3,1,2,1,1,5,3,1,2,
CMP,Transportation Services,,,,,,,1.5,1,2,1,2,1,1,1,3,2,1,
CMS,Heavy Construction,,,,,,,2.1,1,2,5,1,1,1,5,1,1,3,
CMT,Software,,,,,,,3.4,3,3,5,2,5,5,5,2,2,2,
CMV,Broadline Retailers,,,,,,,1.5,3,2,2,1,1,1,1,1,1,1,
CMW,Water,,,,,,,2.0,2,2,2,2,1,2,1,3,2,3,
CMX,Farming & Fishing,,,,,,,2.2,2,2,1,4,1,5,1,2,2,2,
CNA,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CNC,Pharmaceuticals,,,,,,,3.3,5,4,2,3,2,2,5,5,3,2,
CNG,Gas Distribution,,,,,,,2.1,3,3,1,5,1,2,1,1,1,2,
CNN,Heavy Construction,,,,,,,2.2,2,2,2,2,5,5,1,1,1,1,
CNT,Heavy Construction,,,,,,,3.1,5,5,1,2,1,1,1,5,5,5,
COM,Specialty Retailers,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
CPA,Soft Drinks,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CPC,Specialty Chemicals,,,,,,,1.7,3,3,1,1,1,1,1,2,2,2,
CPH,Specialized Consumer Services,,,,,,,2.4,4,3,1,2,1,2,1,4,3,3,
CPI,Transportation Services,,,,,,,1.9,1,2,1,2,1,5,1,2,2,2,
CQN,Farming & Fishing,,,,,,,2.5,2,3,3,4,1,2,2,3,2,3,
CQT,Building Materials & Fixtures,,,,,,,2.6,5,3,5,2,1,1,1,2,3,2,
CRC,Building Materials & Fixtures,,,,,,,2.9,2,2,5,5,3,5,1,1,2,2,
CRE,Real Estate Holding & Development,,,,,,,3.8,4,3,5,5,5,5,3,3,2,2,
CSC,Heavy Construction,,,,,,,3.7,3,2,5,4,5,5,1,4,4,4,
CSI,Investment Services,,,,,,,2.8,2,3,1,5,1,1,1,5,4,5,
CSM,Tires,,,,,,,1.4,1,2,1,2,1,1,2,2,1,1,
CST,Coal,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
CSV,Specialty Chemicals,,,,,,,3.1,4,4,2,2,2,2,3,4,4,4,
CT3,Heavy Construction,,,,,,,1.3,1,2,1,2,1,2,1,1,1,1,
CT6,Heavy Construction,,,,,,,2.3,2,2,5,1,5,1,1,2,2,2,
CTA,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CTB,Industrial Machinery,,,,,,,2.6,3,2,3,3,4,4,1,2,2,2,
CTC,Travel & Tourism,,,,,,,2.2,3,2,1,2,5,4,1,2,1,1,
CTD,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CTF,Automobiles,,,,,,,2.1,1,2,3,2,4,5,1,1,1,1,
CTG,Banks,3,3,3,2,5,3,3.2,4,2,4,,,,,,,,3
CTI,Heavy Construction,,,,,,,1.9,1,2,1,1,1,1,1,5,5,2,
CTN,Heavy Construction,,,,,,,1.1,1,1,1,1,1,1,1,1,1,2,
CTP,Soft Drinks,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CTR,Heavy Construction,,,,,,,3.9,5,3,5,5,5,5,5,1,2,2,
CTS,Investment Services,,,,,,,4.2,2,2,5,5,5,5,4,5,5,5,
CTT,Industrial Machinery,,,,,,,2.3,4,2,3,3,1,1,5,1,1,1,
CTW,Water,,,,,,,2.8,2,3,2,2,2,2,3,5,4,3,
CTX,Heavy Construction,,,,,,,1.2,1,1,1,1,1,1,1,2,1,2,
CVN,Medical Equipment,,,,,,,2.8,3,4,1,5,1,1,1,4,3,4,
CVP,Transportation Services,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
CVT,Building Materials & Fixtures,,,,,,,1.8,3,3,1,2,1,1,1,2,2,2,
CX8,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CYC,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
D11,Real Estate Holding & Development,,,,,,,3.3,5,3,5,5,1,1,3,3,3,3,
D2D,Real Estate Holding & Development,,,,,,,4.2,5,4,5,2,5,5,1,5,5,5,
DAC,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
DAD,Publishing,,,,,,,2.5,4,4,2,4,1,2,1,3,1,2,
DAE,Publishing,,,,,,,2.1,3,4,2,1,1,1,1,4,2,2,
DAG,Commodity Chemicals,,,,,,,1.7,1,2,1,2,1,2,5,1,1,1,
DAH,Hotels,,,,,,,2.3,1,2,2,5,2,2,1,1,2,5,
DAN,Pharmaceuticals,,,,,,,2.1,2,3,1,1,1,1,1,5,3,3,
DAP,Containers & Packaging,,,,,,,1.9,4,3,2,2,2,1,1,1,1,1,
DAS,Commercial Vehicles & Trucks,,,,,,,1.9,1,2,1,5,1,5,1,1,1,1,
DAT,Farming & Fishing,,,,,,,2.3,2,2,2,4,3,4,2,1,1,2,
DBC,Farming & Fishing,,,,,,,3.0,4,3,3,3,5,5,1,2,2,2,
DBD,Pharmaceuticals,,,,,,,3.2,4,4,2,2,2,2,5,5,3,3,
DBM,Pharmaceuticals,,,,,,,2.0,3,3,2,2,2,2,1,2,1,2,
DBT,Pharmaceuticals,,,,,,,2.3,2,2,1,2,1,2,5,4,2,2,
DBW,Water,,,,,,,2.2,1,2,5,2,5,2,1,2,1,1,
DC1,Heavy Construction,,,,,,,1.9,5,3,1,1,1,1,1,1,2,2,
DC2,Heavy Construction,,,,,,,3.0,4,2,4,4,4,5,1,2,2,2,
DC4,Heavy Construction,,,,,,,3.6,2,3,5,5,5,5,5,2,2,2,
DCF,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
