lmao,ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
1485,VES,UPCOM,MÊ CA VNECO,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,109.0,446.0,0.001,http://www.mecavneco.com.vn,,-0.016,0.078,0.394,9.0,9.0,CT
1486,VET,UPCOM,Thuốc thú y trung ương Navetco,151.0,1357,Hóa chất,Chemicals,2005.0,312.0,507.0,0.001,http://www.navetco.com.vn,2.3,0.075,0.03,0.205,16.0,16.0,CT
1487,VFC,UPCOM,Vận tải biển VINAFCO,191.0,2773,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001.0,721.0,0.0,0.447,http://www.vinafco.com.vn,3.2,-0.17,-0.021,0.791,33.8,34.0,CT
1488,VFG,HOSE,Khử trùng Việt Nam,151.0,1357,Hóa chất,Chemicals,1993.0,1216.0,687.0,0.026,http://www.vfc.com.vn,2.9,-0.032,0.089,0.661,41.7,41.7,CT
1489,VFR,UPCOM,Vận tải Vietfracht,191.0,2773,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,201.0,547.0,0.0,http://www.vietfracht.com.vn,,0.032,0.178,-0.111,15.0,15.0,CT
1490,VFS,UPCOM,Chứng khoán Nhất Việt,300.0,8777,Dịch vụ tài chính,Financial Services,2008.0,44.0,0.0,0.0,http://www.vfs.com.vn,3.2,-0.056,0.0,0.27,80.3,80.3,CK
1491,VGC,HOSE,Tổng Công ty Viglacera,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010.0,7629.0,4286.0,0.057,http://www.viglacera.com.vn,3.1,-0.032,-0.358,-0.039,448.4,448.4,CT
1492,VGG,UPCOM,May Việt Tiến,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2012.0,8206.0,1862.0,0.149,http://www.viettien.com.vn,2.7,-0.071,-0.058,0.02,44.1,44.1,CT
1493,VGI,UPCOM,Đầu tư Quốc tế Viettel,269.0,6575,Viễn thông,Telecommunications,2007.0,5128.0,8169.0,0.001,http://www.viettelglobal.vn,2.7,-0.225,-0.231,-0.173,3043.8,3043.8,CT
1494,VGL,UPCOM,Mạ kẽm công nghiệp Vingal-Vnsteel,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2015.0,227.0,120.0,0.0,http://www.vingal.com,3.4,-0.016,0.208,-0.051,9.3,9.3,CT
1495,VGP,HNX,Cảng Rau Quả,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001.0,24.0,0.0,0.013,http://www.vegeport.com,,-0.016,0.078,0.23,7.8,8.2,CT
1496,VGR,UPCOM,Cảng xanh VIP,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2014.0,160.0,117.0,0.218,http://www.vipgreenport.com.vn,3.1,-0.016,0.092,0.319,63.3,63.3,CT
