ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
COM,Specialty Retailers,,,,,5.0,5,5,5,5,5
CPA,Soft Drinks,,,,,1.8,3,2,2,1,1
CPC,Specialty Chemicals,,,,,4.8,4,5,5,5,5
CPH,Specialized Consumer Services,,,,,2.4,5,3,2,1,1
CPI,Transportation Services,,,,,3.8,4,2,3,5,5
CQN,Farming & Fishing,,,,,4.2,5,5,5,1,5
CQT,Building Materials & Fixtures,,,,,3.2,3,1,2,5,5
CRC,Building Materials & Fixtures,,,,,3.2,3,4,4,3,2
CRE,Real Estate Holding & Development,,,,,4.4,4,4,5,5,4
CSC,Heavy Construction,,,,,3.4,4,4,3,1,5
CSI,Investment Services,,,,,4.2,5,5,5,1,5
CSM,Tires,,,,,2.0,2,3,2,2,1
CST,Coal,,,,,3.8,4,2,3,5,5
CSV,Specialty Chemicals,,,,,5.0,5,5,5,5,5
CT3,Heavy Construction,,,,,2.2,3,3,3,1,1
CT6,Heavy Construction,,,,,4.0,4,3,3,5,5
CTA,Heavy Construction,,,,,3.6,5,3,4,1,5
CTB,Industrial Machinery,,,,,3.0,2,3,3,5,2
CTC,Travel & Tourism,,,,,1.6,2,2,2,1,1
CTD,Heavy Construction,,,,,3.6,4,4,4,1,5
CTF,Automobiles,,,,,2.8,2,3,4,4,1
CTG,Banks,1,4,4,5,3.4,,,,,
CTI,Heavy Construction,,,,,1.8,1,2,3,2,1
CTN,Heavy Construction,,,,,2.4,5,2,2,2,1
CTP,Soft Drinks,,,,,4.2,5,5,5,1,5
CTR,Heavy Construction,,,,,4.4,5,3,4,5,5
CTS,Investment Services,,,,,3.0,2,3,4,5,1
CTT,Industrial Machinery,,,,,2.2,1,2,3,3,2
CTW,Water,,,,,4.0,4,3,3,5,5
CTX,Heavy Construction,,,,,2.4,4,2,3,1,2
CVN,Medical Equipment,,,,,5.0,5,5,5,5,5
CVP,Transportation Services,,,,,3.4,5,5,5,1,1
CVT,Building Materials & Fixtures,,,,,3.0,2,5,5,2,1
CX8,Heavy Construction,,,,,3.6,5,3,4,1,5
CYC,Building Materials & Fixtures,,,,,3.0,5,2,2,1,5
D11,Real Estate Holding & Development,,,,,4.6,5,4,4,5,5
D2D,Real Estate Holding & Development,,,,,4.2,5,5,5,1,5
DAC,Building Materials & Fixtures,,,,,2.2,1,2,2,1,5
DAD,Publishing,,,,,4.6,5,4,4,5,5
DAE,Publishing,,,,,4.2,5,5,5,1,5
DAG,Commodity Chemicals,,,,,2.2,2,3,3,2,1
DAH,Hotels,,,,,3.8,4,5,5,4,1
DAN,Pharmaceuticals,,,,,4.4,4,5,5,5,3
DAP,Containers & Packaging,,,,,2.6,5,3,3,1,1
DAS,Commercial Vehicles & Trucks,,,,,1.8,2,3,2,1,1
DAT,Farming & Fishing,,,,,3.4,3,3,4,3,4
DBC,Farming & Fishing,,,,,3.6,3,3,2,5,5
DBD,Pharmaceuticals,,,,,4.8,4,5,5,5,5
DBM,Pharmaceuticals,,,,,4.2,5,5,5,1,5
DBT,Pharmaceuticals,,,,,2.4,2,3,2,4,1
DBW,Water,,,,,4.8,4,5,5,5,5
DC1,Heavy Construction,,,,,2.6,2,3,3,4,1
DC2,Heavy Construction,,,,,2.2,1,3,3,3,1
DC4,Heavy Construction,,,,,4.2,4,5,3,5,4
DCF,Heavy Construction,,,,,2.6,4,3,3,2,1
DCG,Clothing & Accessories,,,,,2.2,4,2,3,1,1
DCH,Real Estate Services,,,,,3.4,5,5,5,1,1
DCL,Pharmaceuticals,,,,,4.4,4,5,5,5,3
DCM,Specialty Chemicals,,,,,5.0,5,5,5,5,5
DCR,Building Materials & Fixtures,,,,,1.8,2,3,2,1,1
DCS,Furnishings,,,,,3.4,4,5,5,2,1
DCT,Building Materials & Fixtures,,,,,2.0,5,1,2,1,1
DDG,Gas Distribution,,,,,2.8,2,3,4,3,2
