ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
GTA,,,,,,3.2,3,3,3,3,3
GTD,,,,,,3.4,4,4,4,3,3
GTH,,,,,,3.0,4,3,3,2,3
GTS,,,,,,3.0,4,3,3,2,3
GTT,,,,,,3.2,4,3,4,2,3
GVR,,,,,,3.7,4,4,4,3,4
GVT,,,,,,3.2,3,3,3,3,3
H11,,,,,,3.0,4,3,3,2,3
HAC,,1,2,3,2,4.1,4,5,5,4,4
HAD,,,,,,3.4,4,3,3,3,3
HAF,,,,,,3.4,4,3,3,3,3
HAG,,,,,,3.4,4,3,3,3,3
HAH,,,,,,3.5,4,4,4,3,3
HAI,,,,,,3.7,4,4,4,3,4
HAM,,,,,,3.0,4,3,3,2,3
HAN,,,,,,3.0,4,3,3,2,3
HAP,,,,,,3.2,3,3,3,3,3
HAR,,,,,,3.6,4,4,4,3,4
HAS,,,,,,3.0,4,3,3,2,3
HAT,,,,,,3.4,4,3,3,3,3
HAV,,,,,,3.4,4,3,3,3,3
HAX,,,,,,3.1,3,3,3,3,3
HBC,,,,,,3.0,4,3,3,2,3
HBD,,,,,,3.5,4,4,4,3,3
HBH,,,,,,3.4,4,3,3,3,3
HBS,,1,2,3,2,4.1,4,5,5,4,4
HC1,,,,,,3.0,4,3,3,2,3
HC3,,,,,,3.0,4,3,3,2,3
HCB,,,,,,3.4,4,4,4,3,3
HCC,,,,,,3.0,4,3,3,2,3
HCD,,,,,,3.7,4,4,4,3,4
HCI,,,,,,3.0,4,3,3,2,3
HCM,,1,2,3,2,4.1,4,5,5,4,4
HCT,,,,,,3.5,4,4,4,3,3
HD2,,,,,,3.6,4,4,4,3,4
HD6,,,,,,3.6,4,4,4,3,4
HD8,,,,,,3.6,4,4,4,3,4
HDA,,,,,,3.0,4,3,3,2,3
HDB,,2,3,4,3,3.0,,,,,
HDC,,,,,,3.6,4,4,4,3,4
HDG,,,,,,3.6,4,4,4,3,4
HDM,,,,,,3.4,4,4,4,3,3
HDO,,,,,,3.5,4,4,4,3,3
HDP,,,,,,3.6,4,4,4,3,3
HDW,,,,,,3.8,4,4,4,4,4
HEC,,,,,,3.5,4,4,4,3,3
HEJ,,,,,,3.0,4,3,3,2,3
HEM,,,,,,3.5,4,4,4,3,3
HEP,,,,,,3.5,4,4,4,3,3
HES,,,,,,3.2,4,3,4,2,3
HEV,,,,,,3.7,5,4,4,3,3
HFB,,,,,,3.0,4,3,3,2,3
HFC,,,,,,3.8,4,4,4,4,4
HFX,,,,,,3.4,4,4,4,3,3
HGM,,,,,,3.2,3,3,3,3,3
HGT,,,,,,3.2,4,3,4,2,3
HGW,,,,,,3.8,4,4,4,4,4
HHC,,,,,,3.4,4,3,3,3,3
HHG,,,,,,3.2,4,3,4,2,3
HHN,,,,,,3.5,4,4,4,3,3
HHP,,,,,,3.2,3,3,3,3,3
HHR,,,,,,3.5,4,4,4,3,3
HHS,,,,,,3.1,3,3,3,3,3
HHV,,,,,,3.0,4,3,3,2,3
HID,,,,,,3.0,4,3,3,2,3
HIG,,,,,,3.5,4,4,4,3,3
HII,,,,,,3.7,4,4,4,3,4
HIZ,,,,,,3.6,4,4,4,3,4
HJC,,,,,,3.4,4,4,4,3,3
HJS,,,,,,3.8,4,4,4,4,4
HKB,,,,,,3.4,4,3,3,3,3
HKP,,,,,,3.5,4,4,4,3,3
HKT,,,,,,3.4,4,3,3,3,3
HLA,,,,,,3.2,3,3,3,3,3
HLB,,,,,,3.4,4,3,3,3,3
HLC,,,,,,3.2,3,3,3,3,3
HLD,,,,,,3.6,4,4,4,3,4
HLG,,,,,,3.4,4,3,3,3,3
HLR,,,,,,3.5,4,4,4,3,3
HLS,,,,,,3.5,4,4,4,3,3
HLT,,,,,,3.4,4,4,4,3,3
HLY,,,,,,3.0,4,3,3,2,3
HMC,,,,,,3.2,3,3,3,3,3
HMG,,,,,,3.2,3,3,3,3,3
HMH,,,,,,3.5,4,4,4,3,3
HMR,,,,,,3.0,4,3,3,2,3
HMS,,,,,,3.0,4,3,3,2,3
HNA,,,,,,3.8,4,4,4,4,4
HNB,,,,,,3.5,4,4,4,3,3
HND,,,,,,3.8,4,4,4,4,4
HNF,,,,,,3.4,4,3,3,3,3
HNG,,,,,,3.4,4,3,3,3,3
HNI,,,,,,3.4,4,4,4,3,3
HNM,,,,,,3.4,4,3,3,3,3
