,result
1743,69
1744,-5
1745,-7
1746,-53
1747,-74
1748,0
1749,0
1750,5
1751,-77
1752,-53
1753,102
1754,9
1755,-54
1756,0
1757,1
1758,-4
1759,-30
1760,404
1761,-138
1762,24
1763,-200
1764,2
1765,-7
1766,0
1767,69
1768,0
1769,9
1770,-892
1771,-1
1772,0
1773,-6
1774,13
1775,22
1776,0
1777,0
1778,1
1779,2
1780,1
1781,0
1782,10
1783,59
1784,-86
1785,1
1786,0
1787,5
1788,-6
1789,-3
1790,-1
1791,14
1792,-1
1793,34
1794,172
1795,8
1796,11
1797,0
1798,-60
1799,70
1800,-2
1801,0
1802,2
1803,-1676
1804,0
1805,0
1806,2
1807,1
1808,0
1809,-73
1810,-54
1811,-1
1812,0
1813,2
1814,0
1815,6
1816,-5
1817,0
1818,0
1819,0
1820,-1
1821,0
1822,158
1823,-5
1824,2
1825,40
1826,73
1827,11
1828,-4
1829,-9
1830,0
1831,-1
1832,10
1833,-2
1834,37
1835,0
1836,31
1837,7
1838,-5
1839,-1
1840,-102
1841,0
1842,0
1843,3
1844,0
1845,33
1846,0
1847,6
1848,189
1849,79
1850,34
1851,-1
1852,12
1853,-48
1854,-1
1855,-21
1856,83
1857,360
1858,0
1859,29
1860,0
1861,1298
1862,-70
1863,9
1864,-19
1865,0
1866,5
1867,-6
1868,-58
1869,0
1870,1
1871,4
1872,17
1873,0
1874,-3
1875,766
1876,0
1877,-27
1878,-31
1879,-126
1880,100
1881,0
1882,-44
1883,2568
1884,0
1885,-2
1886,0
1887,-4
1888,-601
1889,-716
1890,758
1891,-44
1892,-4
1893,-67
1894,347
1895,-6
1896,0
1897,71
1898,92
1899,0
1900,275
1901,0
1902,367
1903,0
1904,1
1905,-385
1906,-10
1907,-45
1908,-15
1909,6
1910,-24
1911,-114
1912,0
1913,-8
1914,-1
1915,-9
1916,2
1917,-1
1918,0
1919,81
1920,-128
1921,-129
1922,1
1923,24
1924,-79
1925,28
1926,-1
1927,0
1928,0
1929,48
1930,0
1931,-1
1932,0
1933,-62
1934,0
1935,-27
1936,-39
1937,8
1938,79
1939,0
1940,0
1941,0
1942,0
1943,-21
1944,4
1945,120
1946,19
1947,-116
1948,-11
1949,121
1950,-175
1951,-143
1952,0
1953,0
1954,5
1955,0
1956,0
1957,86
1958,-520
1959,-34
1960,0
1961,-171
1962,-16
1963,0
1964,37
1965,104
1966,0
1967,0
1968,46
1969,-37
1970,0
1971,-64
1972,-1
1973,0
1974,-116
1975,-8
1976,13
1977,87
1978,-26
1979,-18
1980,-58
1981,13
1982,-1
1983,1173
1984,-4
1985,121
1986,24
1987,22
1988,-3
1989,0
1990,2
1991,-410
1992,26
1993,0
1994,8
1995,-9
1996,0
1997,-31
1998,38
1999,-43
2000,36
2001,-9
2002,31
2003,-53
2004,0
2005,-11
2006,-54
2007,-5
2008,0
2009,-342
2010,-5
2011,0
2012,-7
2013,0
2014,2
2015,0
2016,0
2017,3
2018,-7
2019,-5
2020,-710
2021,0
2022,-26
2023,0
2024,44
2025,-5
2026,-8
2027,0
2028,-282
2029,-5
2030,0
2031,-144
2032,0
2033,-12
2034,0
2035,-1
2036,65
2037,-1
2038,-47
2039,0
2040,4
2041,0
2042,-1
2043,0
2044,-137
2045,-45
2046,49
2047,-64
2048,20
2049,0
2050,0
2051,-1
2052,0
2053,0
2054,-3
2055,-21
2056,7
2057,325
2058,0
2059,0
2060,-21
2061,58
2062,0
2063,87
2064,41
2065,0
2066,40
2067,-53
2068,2
2069,0
2070,-1
2071,21
2072,-1
2073,-20
2074,-410
2075,0
2076,-1
2077,0
2078,-41
2079,0
2080,17
2081,-26
2082,-257
2083,-3
2084,-45
2085,0
2086,44
2087,206
2088,0
2089,6
2090,19048
2091,0
2092,0
2093,-3
2094,12
2095,0
2096,-115
2097,-14
2098,0
2099,2865
2100,-44
2101,0
2102,0
2103,-2
2104,81
2105,11
2106,-1
2107,68
2108,-37
2109,-3
2110,2
2111,0
2112,0
2113,-102
2114,-77
2115,1
2116,0
2117,9
2118,671
2119,-241
2120,0
2121,261
2122,0
2123,-2
2124,0
2125,-14
2126,-80
2127,186
2128,199
2129,0
2130,0
2131,2
2132,-3
2133,-1
2134,-39
2135,-7
2136,4
2137,556
2138,-796
2139,0
2140,-30
2141,0
2142,-2
2143,5
2144,267
2145,-7
2146,37
2147,1
2148,149
2149,-2
2150,-55
2151,-2
2152,17
2153,22
2154,201
2155,0
2156,0
2157,0
2158,134
2159,414
2160,-76
2161,0
2162,7
2163,174
2164,-17
2165,17
2166,0
2167,-21
2168,0
2169,-7
2170,190
2171,0
2172,-2
2173,-177
2174,691
2175,-1
2176,0
2177,-49
2178,-89
2179,-2
2180,11
2181,0
2182,162
2183,0
2184,0
2185,-188
2186,517
2187,-30
2188,32
2189,0
2190,-65
2191,40
2192,-7
2193,-59
2194,41
2195,-299
2196,0
2197,30
2198,314
2199,-273
2200,0
2201,1
2202,203
2203,0
2204,73
2205,0
2206,0
2207,-39
2208,0
2209,0
2210,-5
2211,0
2212,2
2213,-2
2214,0
2215,-3
2216,0
2217,0
2218,-24
2219,-4
2220,0
2221,22
2222,0
2223,2
2224,0
2225,0
2226,8
2227,0
2228,0
2229,117
2230,-1
2231,-1
2232,66
2233,-12
2234,49
2235,23
2236,-42
2237,-223
2238,180
2239,0
2240,619
2241,0
2242,52
2243,0
2244,118
2245,0
2246,-5
2247,36
2248,0
2249,-1
2250,-8
2251,-74
2252,35
2253,-831
2254,0
2255,68
2256,17
2257,-6
2258,-13
2259,0
2260,-4
2261,39
2262,8
2263,1
2264,-1
2265,12
2266,0
2267,213
2268,-3
2269,0
2270,-13
2271,559
2272,0
2273,-1
2274,-1
2275,-115
2276,-9
2277,0
2278,-57
2279,0
2280,2
2281,-6994
2282,0
2283,-3103
2284,-2
2285,0
2286,4
2287,0
2288,13
2289,-36
2290,18
2291,-114
2292,0
2293,62
2294,-7
2295,2567
2296,-56
2297,-26
2298,-1
2299,0
2300,-6
2301,14
2302,0
2303,-71
2304,6
2305,-58
2306,-1
2307,0
2308,0
2309,0
2310,-6
2311,5
2312,-2
2313,6
2314,-14
2315,0
2316,0
2317,-2
2318,-1
2319,2
2320,0
2321,0
2322,-287
2323,493
2324,5
2325,-5
2326,0
2327,34
2328,5
2329,-2
2330,-3
2331,98
2332,0
2333,0
2334,0
2335,-45
2336,-10
2337,0
2338,0
2339,-12
2340,0
2341,0
2342,0
2343,0
